psi_token,phone,email,credit_score,annual_income,debt_to_income_ratio,credit_history_months,num_credit_cards,mortgage_balance,savings_balance,num_late_payments_12m,credit_utilization,age,avg_monthly_balance,num_transactions_3m,overdraft_count_12m,loan_approval_rate,default_label
157af82c189382a68953b179534de64788a5000a28d719ac9192601e7f6daa32,13618606390,user0_206@outlook.com,755,20000,0.2737901954757582,9,4,70898.31572049065,19867.004736530555,1,0.2624727235211276,29,7367.719456364097,49,0,0.6499687306098824,1
254626c496999fc9d4ac93bb2d581d021d3623391ece38b99a41b4f90b7e15e5,13467347265,user1_566@gmail.com,714,28668,0.25546146579527806,2,3,320125.1540691125,3467.886248934192,2,0.3433980888930824,64,9485.084709170473,48,0,0.42441555136349424,0
c76cb1354fe2a6e8519636450ec1c15f31764ae90dd18a2d6ad1a89f8aa66a5e,13793222685,user2_408@163.com,687,20000,0.4678398574285472,360,2,2359.446348249009,2432.651735582034,0,0.7332440530488513,31,1817.137599901484,48,2,0.5492133803703151,1
b2649c51eb1cc7c635c6111f39db6c7bb56ab92eab94e2150faa85b48e163071,13779493433,user3_291@sina.com,678,48220,0.09413289389035272,42,2,34823.412374391235,27440.63930436691,1,0.19074160126388234,35,520.191775177479,40,0,0.7994224994972505,0
af4e60fe7c8d30fe4e3d8dd44de2232ede9e3cae1d8e70064f0603d577e37108,13421845555,user4_413@outlook.com,642,20000,0.2400810691656507,78,3,43811.074934242766,32248.39243994646,0,0.22292539953974955,44,7911.370130249047,40,0,0.9175821218578722,1
96163912827f9c209dd886760b2ffd3b3813097ebeb149db5d9fd32be6ce73ab,13896663558,user5_781@sina.com,707,34611,0.39245422420875126,5,6,45774.24819739059,46351.59107265679,0,0.4305038888876472,18,532.5269205017592,54,0,0.7007856075061157,1
9d28390aa20bf210f4ace5082282aaafb75c86faa8380b210914a12be18a9098,13228998734,user6_343@qq.com,674,20000,0.17959188199273443,58,2,15568.711249792505,61848.18212063903,0,0.13050222092379124,38,7235.796436351156,45,0,0.3651853716975724,0
afc68671c616e31d87bca02bd3157deeb54b3445d76f86f8c8f9a4e68bc98418,13245564890,user7_746@outlook.com,591,96829,0.18440571592914265,60,3,282798.17331660085,14607.294487827743,0,0.854095912083013,51,11848.572653366615,38,1,0.10991142130972185,0
9637912b0fd86d977bd8ef3e9bdbdd71f93bad0212bf5bf1ed55cbd8cefe2f92,13863939792,user8_415@163.com,723,20000,0.13821267926000969,5,4,26066.23317693468,97643.98930572277,2,0.25036927975219586,37,18970.034117382915,42,1,0.5623793501012379,0
f994bf57b7484bc392dcf0965ba28471deacd3fc3c600146ac1f3c81e705dde2,13985133612,user9_997@sina.com,683,28959,0.6361446546843241,6,3,265506.49445004406,965.5841003124574,3,0.4429339343332073,24,4203.875007779371,53,1,0.521084497731509,0
21708a668ad6100bfb0dbf4c90824054b13963967f8f11014f6adcea2c4a128f,13617759226,user10_305@qq.com,795,56813,0.1321264962041437,12,2,65790.11191493271,51030.07546356111,0,0.35887795556290064,32,54681.874634238164,46,0,0.7026150150377113,0
e546659ccc93a9f60652bbc5f6dcd2de5955358f3979fa486e722f1ffccfafcb,13325854943,user11_487@163.com,432,48392,0.07416641839570445,8,1,91684.79022565583,9695.880475356684,0,0.5359846131586256,18,926.0825572887328,41,0,0.42460952729058954,0
ac0865f58c466ba4d9a3484a01e720a5459ba9c5d0c76e626fd0699779b4b5f9,13548438989,user12_576@163.com,654,20000,0.1306813930292492,133,2,93221.91854165481,63684.82263756884,4,0.18468575844640311,34,28187.60609017755,56,2,0.6301723792634845,1
9031f1bbd232f2eaf2fec241448dd5e1157e95d2adcf960ee8b638e00bb27aee,13966751161,user13_301@sina.com,563,20000,0.11952742810171078,16,2,187318.76130520648,6295.147594480953,0,0.3659306333835649,51,1958.4457703567934,45,2,0.26163827813656987,1
72f230c5abc3ce81926bdfcef05b512700cff5ac1636c7800c81e14eee016bb2,13786292016,user14_801@outlook.com,587,67853,0.05898857220901282,51,1,197123.87188548074,33772.56793453494,0,0.7017265049254626,30,5132.076828968439,43,0,0.4688348119012748,0
1860081470a39a36a6487e620d31d6eecaa15b3c2a7793a98fb367ecf5f9b71a,13118785887,user15_316@sina.com,717,32894,0.32978719200569495,58,2,153534.63977635617,13854.498674502724,0,0.5513771774230221,46,5932.950393155228,37,0,0.5656782659868155,0
ca31958fbe94f4cc5cea069318e6acd31a19f62cf2f68cc0d405f27658d7a660,13862763062,user16_912@qq.com,477,20000,0.20303418940569504,17,4,222929.4592489682,12010.031039898044,2,0.1893569455825495,20,24774.751447414696,47,1,0.605745112464147,1
f3ce99b70b48e7773a46fd8e016a9402ffa1b3e099712e89b3f8122e0d22cc09,13890063568,user17_443@qq.com,665,69859,0.1303388905975624,41,3,1250.6763650092307,1531.449733574748,0,0.5687458261907612,60,1316.7579869928663,53,1,0.8796164311492245,0
b6df0603bfaa4f69e06940a6dd09a29dd625eec1fbf73089c38c7b35f25faeff,13762586618,user18_692@gmail.com,653,23152,0.21737545535471517,4,1,105422.1933678235,30596.882686219502,1,0.2868755509891002,51,63774.411853340614,41,0,0.4251477972136923,0
41fd24ebad76c65699139f7fb18016fd04522d2760d018f31b5ff1285103078e,13268924561,user19_330@163.com,524,21463,0.32014050009017003,18,3,111358.60048603574,4819.989308192728,2,0.2909660491517209,32,375.2963993375376,54,0,0.2911234212483385,1
95e407e7681e1fb76759661d8abf830d3dfb8861e3648b02f843851d568c9100,13840997278,user20_300@sina.com,668,20000,0.36130475236799875,123,1,41035.28885040761,15543.611559423542,0,0.6240406536350287,22,4465.441533190723,44,0,0.8756017669286046,0
7454ee1006df3b2e6f17f04ac66e73e03a6066a87b34b546dc4d972c65c5b80e,13141048215,user21_602@outlook.com,558,20000,0.5133840500877594,6,4,121914.9666410629,3808.6277678246365,1,0.1773015067510628,31,9784.972845624998,49,1,0.4680394266703416,1
7bab71b9e151e23ffb2beac647ae0648663d1f450fad0f13673642d282de65f4,13237319154,user22_646@qq.com,850,20000,0.4957078119930783,17,6,94429.37267376733,23188.710192845007,0,0.32470328707565976,41,16981.56552550107,51,0,0.4766976218799696,1
15c8df509f068cb8c2fcd665603bf984915bfb356265fa12b08a44d0c588e0ae,13291104840,user23_104@163.com,794,47223,0.19264726708077234,56,6,95830.75856570137,6568.598541776762,0,0.39740663648341235,51,885.2788297783881,54,1,0.7061852787388406,0
